condition,condition_group,ROI,spike_time_s,amplitude
10s1,10s,ROI.06 [],62.284,0.0158798362120111
10s1,10s,ROI.31 [],150.287,0.1579914751893181
10s2,10s,ROI.03 [],101.786,0.0207592587234295
10s2,10s,ROI.03 [],113.778,0.0220262291432529
10s2,10s,ROI.03 [],150.777,0.0167597130670549
10s2,10s,ROI.09 [],97.777,0.1029657330022254
10s2,10s,ROI.10 [],97.777,0.1328810694740376
10s2,10s,ROI.11 [],98.284,0.1024874032983498
10s2,10s,ROI.12 [],97.777,0.1288625740638656
10s2,10s,ROI.13 [],98.284,0.1373225800642042
10s2,10s,ROI.14 [],97.777,0.1367799842561059
10s2,10s,ROI.16 [],98.284,0.109462092420355
10s2,10s,ROI.17 [],103.277,0.1140387351267484
10s2,10s,ROI.18 [],97.777,0.1331003836053621
10s2,10s,ROI.19 [],101.285,0.0987923010673001
10s2,10s,ROI.20 [],103.277,0.107466983977477
10s2,10s,ROI.21 [],103.277,0.1002764483438459
10s3,10s,ROI.31 [],50.778,0.1407051008899859
10s3,10s,ROI.31 [],94.778,0.1948200154120217
10s4,10s,ROI.12 [],117.286,0.0662133120446775
10s4,10s,ROI.12 [],150.787,0.0417717885916879
10s4,10s,ROI.13 [],118.278,0.0982939919341149
10s4,10s,ROI.13 [],152.277,0.0473408037643061
10s5,10s,ROI.01 [],79.276,0.022527158056695
10s5,10s,ROI.01 [],87.783,0.023289932888254
10s5,10s,ROI.31 [],115.277,0.2196102350762933
10s6,10s,ROI.09 [],31.278,0.0819964037912023
10s6,10s,ROI.09 [],50.78,0.1303652575644238
10s6,10s,ROI.10 [],45.787,0.140307386837002
10s6,10s,ROI.11 [],51.786,0.1309874228230894
10s6,10s,ROI.11 [],89.778,0.1111670578414776
10s6,10s,ROI.12 [],31.278,0.093310132411046
10s6,10s,ROI.12 [],47.796,0.1304249523472297
10s6,10s,ROI.13 [],51.786,0.1244557876922855
10s6,10s,ROI.14 [],52.778,0.1332355449128265
10s6,10s,ROI.17 [],51.277,0.1291926650895977
10s6,10s,ROI.18 [],51.277,0.1316681012830326
10s6,10s,ROI.19 [],51.786,0.1243752513937416
10s6,10s,ROI.21 [],52.778,0.115531158666433
20s1,20s,ROI.03 [],92.777,0.0718514394997438
20s1,20s,ROI.22 [],34.778,0.4689712133163702
20s1,20s,ROI.22 [],60.292,0.324119476346353
20s1,20s,ROI.22 [],88.287,0.3633937872533908
20s1,20s,ROI.22 [],142.777,0.5174466936762774
20s1,20s,ROI.27 [],85.777,0.0220163837398263
20s1,20s,ROI.31 [],115.778,0.0788220532506819
20s1,20s,ROI.31 [],160.285,0.122667215006352
20s1,20s,ROI.31 [],179.288,0.0944405325969358
