Parameter,Replicate,ROI,spike_time_s
20,2,3,58.776
20,2,5,63.286
Ctrl,2,2,80.783
Ctrl,2,7,83.785
Ctrl,2,7,118.277
Ctrl,2,7,164.278
blue,1,2,47.776
blue,1,2,88.777
blue,1,2,149.776
blue,1,3,49.276
blue,1,3,93.777
blue,1,3,149.776
blue,1,4,47.776
blue,1,4,92.277
blue,1,4,145.777
blue,1,5,42.775
blue,1,5,86.777
blue,1,5,145.777
blue,1,7,49.276
blue,1,7,83.777
blue,1,7,141.277
blue,1,8,47.776
blue,1,8,82.776
blue,1,8,145.777
blue,1,12,42.775
blue,1,12,83.777
blue,1,12,149.277
blue,1,13,47.776
blue,1,13,82.776
blue,1,13,135.277
blue,1,14,47.776
blue,1,14,93.777
blue,1,14,145.777
