condition,condition_group,ROI,spike_time_s,amplitude
10s2,10s,ROI.E [],97.777,0.0990572484458381
10s2,10s,ROI.14 [],97.777,0.1367799842561059
10s2,10s,ROI.17 [],103.277,0.1140387351267484
1mw3,1mw,ROI.F [],145.276,0.2547148646364286
1mw3,1mw,ROI.31 [],144.288,0.3050395130102889
20s1,20s,ROI.B [],89.778,0.0128253505493455
20s1,20s,ROI.D [],34.778,0.4617924391111194
20s1,20s,ROI.D [],142.777,0.545137031789368
20s1,20s,ROI.22 [],34.778,0.4689712133163702
20s1,20s,ROI.22 [],88.287,0.3633937872533908
20s1,20s,ROI.22 [],142.777,0.5174466936762774
20s3,20s,ROI.E [],144.788,0.2623806226205323
20s3,20s,ROI.09 [],144.277,0.2683521562614434
20s3,20s,ROI.10 [],144.277,0.3123716744352707
20s3,20s,ROI.11 [],143.777,0.2707472004395154
20s3,20s,ROI.12 [],144.788,0.2331957586193875
20s3,20s,ROI.13 [],144.788,0.2566294657070041
20s3,20s,ROI.14 [],144.788,0.2144639980517949
20s3,20s,ROI.16 [],52.784,0.1072301222200783
20s3,20s,ROI.16 [],144.788,0.3810706259171327
20s3,20s,ROI.17 [],52.284,0.0935266450303853
20s3,20s,ROI.17 [],144.788,0.263756228995913
20s3,20s,ROI.18 [],52.284,0.1016224392597735
20s3,20s,ROI.18 [],145.279,0.3348362832133186
20s3,20s,ROI.19 [],52.784,0.0955427755980458
20s3,20s,ROI.19 [],145.777,0.2609855924584109
20s3,20s,ROI.20 [],145.279,0.19838727181149
20s3,20s,ROI.21 [],143.777,0.1901158384677045
20s4,20s,ROI.E [],42.277,0.2100116662068553
20s4,20s,ROI.E [],112.278,0.126902502615195
20s4,20s,ROI.09 [],41.277,0.2096104826983754
20s4,20s,ROI.09 [],112.785,0.1557177671303312
20s4,20s,ROI.10 [],40.777,0.2803017500612584
20s4,20s,ROI.10 [],113.276,0.1657283055380787
20s4,20s,ROI.11 [],40.297,0.2291885147964594
20s4,20s,ROI.12 [],41.788,0.1875428757483094
20s4,20s,ROI.13 [],40.297,0.2184565400997411
20s4,20s,ROI.14 [],42.277,0.1821726819866333
20s4,20s,ROI.16 [],42.79,0.263758313552655
20s4,20s,ROI.16 [],113.276,0.1620113554356477
20s4,20s,ROI.17 [],42.79,0.2238407244839379
20s4,20s,ROI.17 [],114.28,0.1287746929117306
20s4,20s,ROI.18 [],42.277,0.2763956783614206
20s4,20s,ROI.18 [],113.778,0.1570101027679286
20s4,20s,ROI.19 [],41.788,0.2171904145992516
20s4,20s,ROI.20 [],42.79,0.2077509819581968
20s4,20s,ROI.21 [],41.277,0.1687292571717767
20s6,20s,ROI.E [],119.788,0.240563269020048
20s6,20s,ROI.09 [],118.79,0.2263766079496285
20s6,20s,ROI.10 [],119.788,0.2382553906394667
20s6,20s,ROI.11 [],118.276,0.215868744385955
20s6,20s,ROI.12 [],119.788,0.2232167868893028
20s6,20s,ROI.13 [],120.277,0.2707688495988247
20s6,20s,ROI.14 [],119.277,0.2304879693935671
20s6,20s,ROI.16 [],119.788,0.3341352261449462
20s6,20s,ROI.17 [],119.277,0.2670999092609846
20s6,20s,ROI.18 [],119.277,0.2765106470530469
20s6,20s,ROI.19 [],119.277,0.2275691979924602
20s6,20s,ROI.20 [],119.277,0.2668070647211421
20s6,20s,ROI.21 [],119.788,0.209306811852668
2hz1,2hz,ROI.F [],70.795,0.5470379502918274
2hz1,2hz,ROI.F [],113.788,0.450571093816498
2hz1,2hz,ROI.19 [],159.279,0.242942086341089
2hz1,2hz,ROI.31 [],71.278,0.5950904611708191
2hz1,2hz,ROI.31 [],113.277,0.5259894047287633
2hz2,2hz,ROI.F [],80.778,0.313280222202974
2hz2,2hz,ROI.31 [],80.778,0.3303312613449338
2hz5,2hz,ROI.D [],78.278,0.3049279989722271
2hz5,2hz,ROI.D [],110.295,0.3081101941010635
2hz5,2hz,ROI.22 [],78.278,0.2996606163766699
2hz5,2hz,ROI.22 [],110.295,0.2728830283352343
2mw2,2mw,ROI.A [],105.277,0.0372968398372107
2mw2,2mw,ROI.B [],105.777,0.0105787015176906
2mw2,2mw,ROI.01 [],104.789,0.0602529630166394
5hz1,5hz,ROI.F [],87.776,0.5499593445938028
5hz1,5hz,ROI.F [],93.278,0.3534838072030936
5hz1,5hz,ROI.31 [],87.776,0.5891730675126562
5hz1,5hz,ROI.31 [],93.278,0.3543556775748232
5hz2,5hz,ROI.E [],154.278,0.2782819717345777
5hz2,5hz,ROI.09 [],152.788,0.3100843240458927
5hz2,5hz,ROI.10 [],154.278,0.3987822428268432
5hz2,5hz,ROI.11 [],154.278,0.3720776152536303
5hz2,5hz,ROI.12 [],154.278,0.3418511190178534
5hz2,5hz,ROI.13 [],154.278,0.3850302817401357
5hz2,5hz,ROI.14 [],154.778,0.304648538395072
5hz2,5hz,ROI.16 [],154.778,0.2014845589033505
5hz2,5hz,ROI.17 [],143.778,0.1724189020830717
5hz2,5hz,ROI.17 [],153.278,0.1928738513843392
5hz2,5hz,ROI.18 [],154.278,0.2910500099525862
5hz2,5hz,ROI.19 [],144.295,0.1752068866799395
5hz2,5hz,ROI.19 [],153.278,0.2253829487673183
5hz2,5hz,ROI.20 [],144.778,0.1592198415292422
5hz2,5hz,ROI.20 [],153.278,0.1805290593974077
5hz2,5hz,ROI.21 [],154.278,0.3337442213200044
5hz3,5hz,ROI.D [],58.777,0.2814626041891723
5hz3,5hz,ROI.10 [],119.278,0.1852315001938127
5hz3,5hz,ROI.11 [],119.278,0.1625809008693421
5hz3,5hz,ROI.22 [],58.291,0.2656381447366228
5s1,5s,ROI.D [],65.288,0.2768206353584104
5s1,5s,ROI.D [],147.78,0.3605942848555125
5s1,5s,ROI.D [],159.285,0.2448590013427747
5s1,5s,ROI.22 [],65.288,0.2847127188272914
5s1,5s,ROI.22 [],147.78,0.3557725769970237
5s2,5s,ROI.D [],32.787,0.2856575328054189
5s2,5s,ROI.D [],39.282,0.2739690158750634
5s2,5s,ROI.D [],76.282,0.2894264139295106
5s2,5s,ROI.D [],99.277,0.2912592037180893
5s2,5s,ROI.22 [],32.787,0.2733062967727456
5s2,5s,ROI.22 [],39.282,0.2505872569974391
5s2,5s,ROI.22 [],76.282,0.2738631983148984
5s2,5s,ROI.22 [],103.278,0.2863021758288153
Ctrl2,Far Light Control,ROI.D [],111.288,0.4424742155852585
Ctrl2,Far Light Control,ROI.22 [],111.288,0.3736445012485707
