filename,group,replicate,n_rois,n_spiking_rois,total_spikes,status,error
10s1.csv,10s,1,2,2,2,success,
10s2.csv,10s,2,2,2,2,success,
10s3.csv,10s,3,0,0,0,success,
10s4.csv,10s,4,0,0,0,success,
10s5.csv,10s,5,0,0,0,success,
10s6.csv,10s,6,0,0,0,success,
1mW1.csv,1mW,1,0,0,0,success,
1mw2.csv,1mw,2,0,0,0,success,
1mw3.csv,1mw,3,0,0,0,success,
20-1.csv,20,1,1,1,3,success,
20-10.csv,20,10,1,1,1,success,
20-2.csv,20,2,0,0,0,success,
20-3.csv,20,3,2,2,4,success,
20-4.csv,20,4,0,0,0,success,
20-5.csv,20,5,1,1,1,success,
20-6.csv,20,6,1,1,1,success,
20-7.csv,20,7,3,3,5,success,
20-8.csv,20,8,0,0,0,success,
20-9.csv,20,9,2,2,3,success,
2hz1.csv,2hz,1,0,0,0,success,
2hz2.csv,2hz,2,0,0,0,success,
2hz3.csv,2hz,3,1,1,1,success,
2hz4.csv,2hz,4,1,1,1,success,
2hz5.csv,2hz,5,1,1,1,success,
2mw1.csv,2mw,1,0,0,0,success,
2mw2.csv,2mw,2,1,1,1,success,
2mW3.csv,2mW,3,1,1,1,success,
5hz1.csv,5hz,1,1,1,2,success,
5hz2.csv,5hz,2,9,9,31,success,
5hz3.csv,5hz,3,8,8,27,success,
5hz4.csv,5hz,4,9,9,25,success,
5s1.csv,5s,1,0,0,0,success,
5s2.csv,5s,2,0,0,0,success,
5s3.csv,5s,3,1,1,1,success,
5s4.csv,5s,4,0,0,0,success,
5s5.csv,5s,5,0,0,0,success,
5s6.csv,5s,6,0,0,0,success,
bg.csv,bg,1,0,0,0,success,
Ctrl.csv,Ctrl,1,1,1,1,success,
Ctrl2.csv,Ctrl,2,0,0,0,success,
