Condition_A,Condition_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
5s,10s,24,39,16.7607,23.3449,0.01704,*
5s,20s,24,70,16.7607,24.5458,0.00939,**
5s,Ctrl,24,4,16.7607,39.7802,0.10064,ns
5s,Far Light Control,24,6,16.7607,28.8623,0.22296,ns
5s,2hz,24,40,16.7607,28.642,0.00578,**
5s,2mw,24,5,16.7607,29.5814,0.04633,*
5s,5hz,24,35,16.7607,20.7368,0.05647,ns
10s,20s,39,70,23.3449,24.5458,0.76875,ns
10s,Ctrl,39,4,23.3449,39.7802,0.08996,ns
10s,Far Light Control,39,6,23.3449,28.8623,0.27724,ns
10s,2hz,39,40,23.3449,28.642,0.08973,ns
10s,2mw,39,5,23.3449,29.5814,0.35461,ns
10s,5hz,39,35,23.3449,20.7368,0.13629,ns
20s,Ctrl,70,4,24.5458,39.7802,0.11173,ns
20s,Far Light Control,70,6,24.5458,28.8623,0.69279,ns
20s,2hz,70,40,24.5458,28.642,0.46906,ns
20s,2mw,70,5,24.5458,29.5814,0.38944,ns
20s,5hz,70,35,24.5458,20.7368,0.35328,ns
Ctrl,Far Light Control,4,6,39.7802,28.8623,0.45417,ns
Ctrl,2hz,4,40,39.7802,28.642,0.22843,ns
Ctrl,2mw,4,5,39.7802,29.5814,0.38928,ns
Ctrl,5hz,4,35,39.7802,20.7368,0.09925,ns
Far Light Control,2hz,6,40,28.8623,28.642,0.81938,ns
Far Light Control,2mw,6,5,28.8623,29.5814,0.78323,ns
Far Light Control,5hz,6,35,28.8623,20.7368,0.25927,ns
2hz,2mw,40,5,28.642,29.5814,0.5512,ns
2hz,5hz,40,35,28.642,20.7368,0.00583,**
2mw,5hz,5,35,29.5814,20.7368,0.01552,*
