Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
0.257,-0.2599715372818604,0.5327907910512861,-0.6943423099886411,-0.04863350497158896,-0.030825136293307742,-0.04747181387399474,-0.014405451208934172,-0.01007270627493801,0.10171729235309607,0.16438695601321482,0.09731216854537024,-0.00622004883545119,-0.00936905079713014,0.009471884059412586,0.016464977627148027,0.019283826050434456,0.12130908898382206,-0.03591372798907761,-0.004443775516413942,0.03022419125349938,0.16071189330067542,0.09642886827671154,-0.010807638183744644,
0.777,-0.24512352003815416,0.5323800020461248,-0.6077949554271536,-0.05475543139126532,-0.048551213729351665,-0.04084854950159358,-0.013095513780337607,-0.012144848493771636,0.09014560651823839,0.15241657236926168,0.0848604714458794,-0.012017420114775768,-0.011897047946400471,0.011892062394500608,0.015529528353890792,0.009446090704342948,0.11068644482714027,-0.03009736760594694,-0.00884338668534326,0.01719778958905551,0.12307804728944378,0.08367806116940955,-0.015005411128800387,
1.276,-0.25426750909031054,0.4567405994094196,-0.7383043098590963,-0.047459291476427905,-0.030686049590512472,-0.03249264429269096,-0.01792633566876051,-0.023055512395903643,0.08085191877879819,0.1431940278134661,0.06708466640474708,-0.015398617929963656,-0.006549680058479308,0.005273972857078481,0.018010924991493663,0.007165530469038863,0.10258468594915403,-0.02121836793950508,-0.007769372315153735,0.021443154364123595,0.10485526031036314,0.07295732075455033,-0.014182176475688604,
1.786,-0.25072693134041046,0.3647828231041436,-0.6632189218173615,-0.04216364971447333,-0.03358517490611958,-0.031628376690744225,-0.018241460530901428,-0.03612359935723607,0.07627385740974098,0.14022261750838608,0.06526984287950259,-0.011219688425988483,-0.0024176694011165934,0.010626657989594286,0.016304403273995932,0.0191595615142908,0.09912061032606596,-0.020794625502268158,-0.005697166073578526,0.009752072186016009,0.1040177139514,0.05610405223808013,-0.009853260774602482,
2.28,-0.24823697507969308,0.4359991614416129,-0.6587563209003235,-0.033597170694702055,-0.026327143854731828,-0.027051843600078847,-0.017098427393247104,-0.03088334649083509,0.06786740031382879,0.13229682906627105,0.07091446475468678,-0.005276323403895567,-0.0030338159231736834,0.011247212223848219,0.01445255054764264,0.010260416156878031,0.08678690990337647,-0.022561187694960395,-0.008847602214110134,0.012197739665999154,0.10003275928489619,0.054043449519331974,-0.011620825535862632,
2.777,-0.2621354551104119,0.431033638808202,-0.7064320797940604,-0.04039522120514861,-0.03281819028453684,-0.025764961828416675,-0.012672307301001119,-0.0234379839216679,0.058060427838427436,0.11636980412060892,0.08084095553039423,-0.01910787458671387,-0.01091519631475644,0.0095392599496437,0.020050981758925824,0.018527740043649647,0.08231184434010357,-0.03197928834747148,-0.008746472669536634,0.01718059483893625,0.09918747237076915,0.043211004623207795,-0.011584077992756068,
3.288,-0.23611912591345402,0.4010858662885504,-0.6580282915081305,-0.03328573512779978,-0.02579467932738126,-0.015395723328752433,-0.010486130052997606,-0.01847379306542622,0.052746313706078636,0.10711873049209869,0.058919741817400034,-0.0005110711177957035,-0.0031828939080907385,0.019547801738566052,0.010699381177704515,0.02186552524311595,0.06947753417798119,-0.01623617425579467,-0.008769203999207343,0.002915398141219856,0.07833327881533071,0.040832551556002294,-0.009541189216028579,
3.776,-0.23920593715411387,0.39403335049696897,-0.6108510331802466,-0.02372693201433306,-0.02237500791390675,-0.01876457852742629,-0.01204856794083623,-0.016288170804089497,0.04558717281979597,0.10409214186150369,0.06569666375796973,-0.018128707800800597,-0.0027881635854657438,0.01276093582074181,0.006935526100844029,0.01847466814222958,0.061310029869504075,-0.02844230798200915,-0.007385994759273065,0.006492696369240422,0.07450143756587053,0.02896643612397043,-0.011754873779529705,
4.279,-0.2002278425991443,0.3239871405350914,-0.531209359105648,-0.02797680100613015,-0.02885988674472432,-0.025655476122747874,-0.007281194166805275,-0.015438551841908559,0.04381440583470789,0.10689234396687894,0.04717006855458901,-0.005093032521221768,-0.0024550411347587005,0.01374576069036667,0.0074673355275379745,0.012233615759120532,0.04582463104598049,-0.01120031492184814,-0.006721687295709558,0.003894987622124265,0.07112536051871826,0.01782237173374181,-0.008636886981727444,
4.777,-0.1914623421147261,0.1973654053091797,-0.5690586873081928,-0.023495862656151577,-0.03241638700463805,-0.027319784384481394,-0.014118942781525652,-0.01839326989734439,0.03966012062313896,0.09382528214147348,0.03691003084828767,-0.0032419109825827614,-0.00960389421150526,0.004892025099340047,0.013644824449461678,0.010649355102900802,0.04750274236372211,-0.012965500823726593,-0.00509524407219714,0.008010285143902817,0.06908188934083599,0.02384783303536169,-0.010568931249254915,
