Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,1,4,1.0,1.75,1.0,ns
10s,2Hz,1,2,1.0,1.5,1.0,ns
10s,2mW,1,1,1.0,2.0,1.0,ns
10s,5Hz,1,1,1.0,1.0,1.0,ns
10s,5s,1,3,1.0,1.6666666666666667,1.0,ns
10s,Ctrl,1,2,1.0,1.5,1.0,ns
20s,2Hz,4,2,1.75,1.5,1.0,ns
20s,2mW,4,1,1.75,2.0,1.0,ns
20s,5Hz,4,1,1.75,1.0,1.0,ns
20s,5s,4,3,1.75,1.6666666666666667,1.0,ns
20s,Ctrl,4,2,1.75,1.5,1.0,ns
2Hz,2mW,2,1,1.5,2.0,1.0,ns
2Hz,5Hz,2,1,1.5,1.0,1.0,ns
2Hz,5s,2,3,1.5,1.6666666666666667,1.0,ns
2Hz,Ctrl,2,2,1.5,1.5,1.0,ns
2mW,5Hz,1,1,2.0,1.0,1.0,ns
2mW,5s,1,3,2.0,1.6666666666666667,1.0,ns
2mW,Ctrl,1,2,2.0,1.5,1.0,ns
5Hz,5s,1,3,1.0,1.6666666666666667,1.0,ns
5Hz,Ctrl,1,2,1.0,1.5,1.0,ns
5s,Ctrl,3,2,1.6666666666666667,1.5,1.0,ns
